SpeedOfMe Download,SpeedOfMe Upload,SpeedCheck Download,SpeedCheck Upload,Fast.com Download,Fast.com Upload,Speedtest Download,Speedtest Upload,iPerf3 Download,iPerf3 Upload
68.88,45.2,6.87,32.19,38,39,8.48,10.93,,25.2
49.74,44.27,44.53,17,11,11,10.59,11.04,,3.66
30.78,18.4,50.18,40.89,9.6,41,8.21,11.29,,36.3
69.53,45.05,55.54,23.55,10,40,10.06,11.03,,32.2
70.9,44.78,56.7,16.63,11,37,9.63,15.86,,31.3
70.05,44.97,47.39,19.17,54,36,9.92,11.25,,36.5
69.69,45.15,39.58,16.65,41,40,9.98,27.83,,32.7
23.92,32.08,42.1,17.24,11,41,8.99,28.48,,37.2
9.45,13.12,56.89,12.02,22,12,5.53,5.4,,36.5
69.56,44.81,46.09,17.29,45,34,10.74,24.23,,36.4
64.78,45.07,30.86,28.37,11,36,9.73,29.24,,37.4
94.52,36.71,41.58,24.35,46,43,8.77,29.06,,37.1
31.03,16.72,52.48,20.58,48,35,31.7,32.65,,35.1
65.31,39.76,,,42,35,9.87,6.98,,37
65.91,45.03,,,9.9,40,26.51,33.58,,36.4
27.41,44.97,,,43,35,22.18,18.79,,38.1
,,,,47,42,9.94,10.21,,
,,,,,,7.77,22.23,,
